                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.855,                 1.3644,                  1.234,                0.78689,                0.70689,                0.78135,                0.43794,                 1.5738,                 0.8681,                  1.118,              0.0033268,              0.0033268,              0.0033268
                      2,                  1.619,                0.85253,                 1.1061,                0.81564,                0.73579,                0.81131,                0.46693,                 1.5181,                0.81161,                  1.086,              0.0065942,              0.0065942,              0.0065942
                      3,                 1.6119,                0.83524,                 1.0896,                0.82063,                0.74267,                0.81322,                0.47671,                 1.4866,                0.79249,                  1.072,              0.0097956,              0.0097956,              0.0097956
                      4,                 1.5778,                0.81414,                 1.0747,                0.84194,                0.74703,                0.82797,                0.49176,                 1.4662,                0.75809,                 1.0591,               0.009703,               0.009703,               0.009703
                      5,                 1.5376,                0.77913,                 1.0561,                0.84939,                0.75946,                0.83885,                0.50415,                 1.4438,                0.72746,                 1.0475,               0.009604,               0.009604,               0.009604
                      6,                 1.5037,                0.75246,                 1.0449,                0.86181,                0.77328,                0.84765,                0.51774,                 1.4187,                0.70099,                 1.0408,               0.009505,               0.009505,               0.009505
                      7,                 1.4932,                0.74083,                 1.0382,                0.85734,                0.76897,                0.84764,                   0.51,                  1.436,                0.70942,                 1.0429,               0.009406,               0.009406,               0.009406
                      8,                 1.4784,                0.72824,                 1.0322,                0.86508,                 0.7783,                0.86115,                0.52876,                  1.394,                 0.6868,                 1.0239,               0.009307,               0.009307,               0.009307
                      9,                  1.467,                0.71905,                 1.0284,                0.87326,                0.77495,                0.85316,                0.52547,                 1.4018,                 0.6772,                 1.0287,               0.009208,               0.009208,               0.009208
                     10,                 1.4585,                0.71019,                 1.0252,                0.87087,                0.78834,                0.86621,                0.53095,                 1.3963,                0.66732,                 1.0214,               0.009109,               0.009109,               0.009109
                     11,                  1.451,                0.70148,                 1.0225,                0.87449,                0.79284,                0.86231,                0.53431,                 1.3862,                0.65678,                 1.0244,                0.00901,                0.00901,                0.00901
                     12,                 1.4426,                0.69524,                 1.0211,                0.88275,                0.79329,                 0.8698,                0.54022,                 1.3747,                0.65398,                 1.0158,               0.008911,               0.008911,               0.008911
                     13,                 1.4408,                0.69102,                 1.0162,                0.87932,                0.79941,                0.87463,                0.54206,                 1.3741,                0.65611,                 1.0131,               0.008812,               0.008812,               0.008812
                     14,                 1.4358,                0.68488,                 1.0142,                0.88488,                0.79622,                0.87356,                0.54216,                 1.3742,                0.64539,                 1.0137,               0.008713,               0.008713,               0.008713
                     15,                 1.4281,                0.68057,                  1.014,                0.88383,                0.80235,                0.87834,                0.54929,                 1.3618,                0.63755,                 1.0076,               0.008614,               0.008614,               0.008614
                     16,                 1.4202,                0.67539,                 1.0109,                0.88866,                0.79906,                0.87359,                0.54695,                 1.3593,                0.63461,                 1.0085,               0.008515,               0.008515,               0.008515
                     17,                 1.4203,                0.67187,                 1.0083,                 0.8859,                0.80289,                0.88138,                0.55266,                 1.3542,                 0.6313,                 1.0041,               0.008416,               0.008416,               0.008416
                     18,                  1.416,                0.67055,                  1.008,                0.88487,                0.79978,                0.87486,                0.54659,                 1.3668,                0.63632,                 1.0092,               0.008317,               0.008317,               0.008317
                     19,                 1.4192,                0.66888,                  1.009,                0.88899,                0.80631,                 0.8831,                0.55341,                 1.3558,                0.62783,                 1.0049,               0.008218,               0.008218,               0.008218
                     20,                 1.4084,                0.66321,                 1.0053,                0.88898,                0.80806,                0.88221,                0.55227,                 1.3579,                0.62153,                 1.0059,               0.008119,               0.008119,               0.008119
                     21,                 1.4033,                0.65747,                 1.0062,                0.89421,                0.81072,                0.88484,                0.55732,                 1.3471,                0.61391,                 1.0026,                0.00802,                0.00802,                0.00802
                     22,                 1.4007,                0.65632,                 1.0025,                0.89316,                0.81001,                 0.8852,                0.55697,                 1.3454,                 0.6164,                 1.0012,               0.007921,               0.007921,               0.007921
                     23,                 1.3978,                0.65323,                 1.0025,                0.89451,                0.81142,                0.88606,                0.55865,                 1.3468,                 0.6084,                 1.0028,               0.007822,               0.007822,               0.007822
                     24,                 1.3954,                0.65276,                 1.0025,                0.89038,                0.81075,                0.88573,                0.55555,                 1.3547,                0.61548,                 1.0022,               0.007723,               0.007723,               0.007723
                     25,                 1.3951,                0.64991,                 0.9989,                 0.8927,                0.81553,                0.88825,                0.55938,                 1.3451,                 0.6088,                0.99993,               0.007624,               0.007624,               0.007624
                     26,                 1.3924,                0.64824,                0.99753,                0.89624,                0.81403,                0.88881,                0.56181,                 1.3413,                0.60616,                0.99713,               0.007525,               0.007525,               0.007525
                     27,                 1.3868,                0.64378,                0.99799,                0.89669,                0.81492,                 0.8904,                 0.5631,                 1.3396,                0.60199,                0.99685,               0.007426,               0.007426,               0.007426
                     28,                 1.3874,                 0.6431,                0.99701,                0.89462,                0.81423,                0.88885,                0.56152,                 1.3384,                0.60235,                0.99796,               0.007327,               0.007327,               0.007327
                     29,                 1.3826,                 0.6408,                0.99813,                0.89484,                0.81831,                0.88895,                0.56276,                 1.3388,                0.59783,                0.99691,               0.007228,               0.007228,               0.007228
                     30,                 1.3856,                0.64101,                 0.9955,                0.89574,                0.81918,                0.89061,                0.56284,                 1.3377,                0.59916,                0.99667,               0.007129,               0.007129,               0.007129
                     31,                 1.3787,                0.63706,                0.99682,                0.89746,                0.82045,                 0.8916,                0.56525,                 1.3344,                0.59254,                0.99471,                0.00703,                0.00703,                0.00703
                     32,                 1.3814,                0.63807,                0.99507,                0.90044,                0.81935,                0.89395,                0.56504,                 1.3345,                0.59345,                0.99399,               0.006931,               0.006931,               0.006931
                     33,                 1.3783,                0.63551,                0.99479,                0.89775,                0.82107,                 0.8919,                0.56544,                 1.3315,                0.59262,                0.99338,               0.006832,               0.006832,               0.006832
